method_id,view,n,arm,stratum_id,block_id,cross,within,stress,cross_minus_within,cross_available_anchors,cross_missing_anchor_ids,cross_available_anchor_mean_secondary,within_missing_anchor_ids,stress_missing_anchor_ids
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-10,,,,,2,"[""A/X"",""B/X""]",0.5,"[""A/X"",""A/Y"",""B/Y""]","[""A/X"",""A/Y"",""B/X""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-01,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-02,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/Y"",""B/Y""]","[""A/X"",""A/Y"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-03,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-04,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-05,,,,,2,"[""A/X"",""B/X""]",1.0,"[""A/X"",""A/Y"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-06,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-07,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-08,,,,,3,"[""A/Y""]",1.0,"[""A/Y""]","[""A/Y""]"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,stratum-01-block-09,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
