anchor_id,arm,block_id,category,method_id,n,raw_distance,reason_codes,score,status,stratum_id,view,context_condition,label
A/X,full,stratum-02-block-01,same_account_different_community,cosine_distance_v1,4,0.1465270030614001,[],0.1465270030614001,ok,stratum-02,retained_prose,cross_community,same_author
A/X,full,stratum-02-block-01,different_account_different_community,cosine_distance_v1,4,0.20056452841293393,[],0.20056452841293393,ok,stratum-02,retained_prose,cross_community,different_author
A/Y,full,stratum-02-block-01,same_account_same_community,cosine_distance_v1,4,0.16972176515455772,[],0.16972176515455772,ok,stratum-02,retained_prose,within_community,same_author
A/Y,full,stratum-02-block-01,different_account_same_community,cosine_distance_v1,4,0.19647929467676373,[],0.19647929467676373,ok,stratum-02,retained_prose,within_community,different_author
A/Y,full,stratum-02-block-01,same_account_different_community,cosine_distance_v1,4,0.20010247777776957,[],0.20010247777776957,ok,stratum-02,retained_prose,cross_community,same_author
A/Y,full,stratum-02-block-01,different_account_different_community,cosine_distance_v1,4,0.22855563513841148,[],0.22855563513841148,ok,stratum-02,retained_prose,cross_community,different_author
B/X,full,stratum-02-block-01,same_account_same_community,cosine_distance_v1,4,0.2263125891843507,[],0.2263125891843507,ok,stratum-02,retained_prose,within_community,same_author
B/X,full,stratum-02-block-01,different_account_same_community,cosine_distance_v1,4,0.2841878065329194,[],0.2841878065329194,ok,stratum-02,retained_prose,within_community,different_author
B/X,full,stratum-02-block-01,same_account_different_community,cosine_distance_v1,4,0.1862297363139992,[],0.1862297363139992,ok,stratum-02,retained_prose,cross_community,same_author
B/X,full,stratum-02-block-01,different_account_different_community,cosine_distance_v1,4,0.22010721279011058,[],0.22010721279011058,ok,stratum-02,retained_prose,cross_community,different_author
