method_id,view,n,arm,stratum_id,category,value_kind,planned_cases,null_values,count,mean,min,q25,median,q75,max
cosine_distance_v1,retained_prose,4,hash75,stratum-03,different_account_different_community,score,40,2,38,0.27518301019448793,0.186503798846556,0.23403467141755488,0.26925323360591896,0.30234103401200596,0.42816442609640937
cosine_distance_v1,retained_prose,4,hash75,stratum-03,different_account_different_community,raw_distance,40,0,40,0.2799829077947148,0.186503798846556,0.2349325772639239,0.2741920716343176,0.31214008085633693,0.42816442609640937
cosine_distance_v1,retained_prose,4,hash50,stratum-01,same_account_same_community,score,40,28,12,0.22849718884066159,0.20971160716648174,0.2157431409422621,0.23059531754834717,0.2376303897085119,0.24448481646608977
cosine_distance_v1,retained_prose,4,hash50,stratum-01,same_account_same_community,raw_distance,40,0,40,0.2753192541083404,0.20971160716648174,0.23169688008968517,0.2509154907001395,0.2996460942647285,0.6312698355624818
cosine_distance_v1,retained_prose,4,hash50,stratum-01,different_account_same_community,score,40,26,14,0.2623476098344783,0.23518325726141565,0.24575000812407646,0.2616763280835214,0.27970225934548887,0.2881649703826743
cosine_distance_v1,retained_prose,4,hash50,stratum-01,different_account_same_community,raw_distance,40,0,40,0.30445706497598224,0.23518325726141565,0.2612492308458927,0.2870607359780135,0.32305012078653733,0.6708268631272212
cosine_distance_v1,retained_prose,4,hash50,stratum-01,same_account_different_community,score,40,29,11,0.24376296555337998,0.20460204726906894,0.2278130205704576,0.2424178763423852,0.25265999676777645,0.28386258956375077
cosine_distance_v1,retained_prose,4,hash50,stratum-01,same_account_different_community,raw_distance,40,0,40,0.2744844190902115,0.20460204726906894,0.2407333545170205,0.2592043989603738,0.2916016244800069,0.5918811410805467
cosine_distance_v1,retained_prose,4,hash50,stratum-01,different_account_different_community,score,40,28,12,0.2638607415393554,0.21264665578478337,0.2493551013829775,0.25845013805668104,0.28135975449995276,0.31381646681706454
cosine_distance_v1,retained_prose,4,hash50,stratum-01,different_account_different_community,raw_distance,40,0,40,0.30189516022905677,0.21264665578478337,0.2587229552114585,0.2966695130428979,0.3320668871912702,0.6133003128140782
cosine_distance_v1,retained_prose,4,hash50,stratum-02,same_account_same_community,score,40,30,10,0.2386591014539879,0.19486194826207326,0.22153934350802149,0.22991451079899017,0.2517666809908128,0.2973466945146648
cosine_distance_v1,retained_prose,4,hash50,stratum-02,same_account_same_community,raw_distance,40,0,40,0.3036468702769269,0.19486194826207326,0.24524551247438442,0.28163461509427185,0.3171052983722461,0.710043525971638
cosine_distance_v1,retained_prose,4,hash50,stratum-02,different_account_same_community,score,40,28,12,0.2840118741352483,0.2328293226990502,0.2684360147057216,0.2883009814516931,0.29761226392592965,0.35128799728388915
cosine_distance_v1,retained_prose,4,hash50,stratum-02,different_account_same_community,raw_distance,40,0,40,0.3379456846855133,0.2328293226990502,0.2756699826285831,0.3018495855552216,0.37587751801837743,0.705726141938054
cosine_distance_v1,retained_prose,4,hash50,stratum-02,same_account_different_community,score,40,27,13,0.2615164700161794,0.20677942998375054,0.251437557808018,0.25798080043995675,0.27161302015913025,0.33334809902137674
cosine_distance_v1,retained_prose,4,hash50,stratum-02,same_account_different_community,raw_distance,40,0,40,0.31941716539757337,0.20677942998375054,0.25677611480626084,0.30740245547663164,0.3435580791252645,0.6822625047288815
cosine_distance_v1,retained_prose,4,hash50,stratum-02,different_account_different_community,score,40,28,12,0.27256531542345025,0.20435733936056433,0.2491893283115069,0.26752564992118477,0.30067295288739876,0.3564889727941434
cosine_distance_v1,retained_prose,4,hash50,stratum-02,different_account_different_community,raw_distance,40,0,40,0.33751972614506187,0.20435733936056433,0.2868517872755495,0.32175015843564325,0.35935802197006517,0.6944335231751211
cosine_distance_v1,retained_prose,4,hash50,stratum-03,same_account_same_community,score,40,26,14,0.2593581491260456,0.16420554897804251,0.23233869498353235,0.2722904425047917,0.2975887189525007,0.31617495504387205
cosine_distance_v1,retained_prose,4,hash50,stratum-03,same_account_same_community,raw_distance,40,0,40,0.323007960500651,0.16420554897804251,0.27902826046310886,0.31168231943157104,0.3745088650928171,0.5994568976936547
cosine_distance_v1,retained_prose,4,hash50,stratum-03,different_account_same_community,score,40,28,12,0.2982959401594379,0.23667162470039882,0.25364618619533175,0.2705583642326692,0.34086549982600534,0.41556171309274104
cosine_distance_v1,retained_prose,4,hash50,stratum-03,different_account_same_community,raw_distance,40,0,40,0.36305861129732964,0.2333321978542635,0.30139464305655317,0.34880713725576873,0.4129770267562116,0.6003877788717791
cosine_distance_v1,retained_prose,4,hash50,stratum-03,same_account_different_community,score,40,27,13,0.28358605028107237,0.2463999054207865,0.25346542536585337,0.26252490748166646,0.29078081226129016,0.38425025745697583
cosine_distance_v1,retained_prose,4,hash50,stratum-03,same_account_different_community,raw_distance,40,0,40,0.33741094570527796,0.23920560115756828,0.2780905678788278,0.3238386997243888,0.36871513897247415,0.5792528577127516
cosine_distance_v1,retained_prose,4,hash50,stratum-03,different_account_different_community,score,40,26,14,0.2993644855623571,0.22056165395375704,0.26858196981162674,0.3093589860833908,0.32596689277260543,0.3697313078831874
cosine_distance_v1,retained_prose,4,hash50,stratum-03,different_account_different_community,raw_distance,40,0,40,0.36920439669630706,0.22056165395375704,0.3190995928242179,0.374595263881016,0.4168601486734241,0.5354262689044578
cosine_distance_v1,retained_prose,4,middle50,stratum-01,same_account_same_community,score,40,28,12,0.2523341412719358,0.22260689318613391,0.23961921653945764,0.24722401486097978,0.26243059589195283,0.30387087198656604
cosine_distance_v1,retained_prose,4,middle50,stratum-01,same_account_same_community,raw_distance,40,0,40,0.2653625674087432,0.22260689318613391,0.2409830863736971,0.2584253161107331,0.28275384514870305,0.36221619582247266
cosine_distance_v1,retained_prose,4,middle50,stratum-01,different_account_same_community,score,40,30,10,0.2670820543716768,0.23502587354127835,0.24993389712287495,0.2618146385058745,0.2791292195527142,0.3121437434113923
cosine_distance_v1,retained_prose,4,middle50,stratum-01,different_account_same_community,raw_distance,40,0,40,0.2878864905795103,0.23502587354127835,0.2624278070842552,0.28603017707087597,0.3014758022332481,0.37215896430186557
cosine_distance_v1,retained_prose,4,middle50,stratum-01,same_account_different_community,score,40,31,9,0.2433238015236734,0.20904487355985013,0.22764564442120394,0.24555578000998735,0.25257658311113096,0.2881059607674341
cosine_distance_v1,retained_prose,4,middle50,stratum-01,same_account_different_community,raw_distance,40,0,40,0.26128838266823917,0.20893072788080425,0.24542441218565142,0.2600576424889773,0.276971767283515,0.3576612128189628
cosine_distance_v1,retained_prose,4,middle50,stratum-01,different_account_different_community,score,40,29,11,0.2632937105611012,0.2341766179361462,0.24400524111033312,0.2556650795047165,0.2853357233119046,0.3008522459719817
cosine_distance_v1,retained_prose,4,middle50,stratum-01,different_account_different_community,raw_distance,40,0,40,0.28975530928256626,0.2129347557842438,0.2583816602781392,0.2864955879302331,0.30180937498102167,0.37445716658647465
cosine_distance_v1,retained_prose,4,middle50,stratum-02,same_account_same_community,score,40,32,8,0.24963859512528563,0.1920672790362008,0.19988694999360684,0.26763071089679713,0.2820458406882944,0.3024832346541819
cosine_distance_v1,retained_prose,4,middle50,stratum-02,same_account_same_community,raw_distance,40,0,40,0.28301083148222367,0.1920672790362008,0.24796367044479864,0.27491001757296574,0.3047375783859586,0.4154400701982395
cosine_distance_v1,retained_prose,4,middle50,stratum-02,different_account_same_community,score,40,31,9,0.2989574662183944,0.22223303271415928,0.27347418668483525,0.2866025734426694,0.3309493804934166,0.404123826163842
cosine_distance_v1,retained_prose,4,middle50,stratum-02,different_account_same_community,raw_distance,40,0,40,0.3198813654053884,0.22223303271415928,0.27757295316591757,0.31592269576975185,0.35874041158425685,0.44237626245188577
cosine_distance_v1,retained_prose,4,middle50,stratum-02,same_account_different_community,score,40,34,6,0.2796770966857322,0.2222503671096212,0.2776374605647365,0.2851774237193118,0.3001364383112806,0.3052104495443333
cosine_distance_v1,retained_prose,4,middle50,stratum-02,same_account_different_community,raw_distance,40,0,40,0.2971766542064908,0.20067063516974126,0.2672774212356164,0.2936478597605673,0.31504166660229416,0.4128586098264002
cosine_distance_v1,retained_prose,4,middle50,stratum-02,different_account_different_community,score,40,31,9,0.3082402671943829,0.2265404580965762,0.2596521688361898,0.29403891775820756,0.36669462515111084,0.38358134500933383
cosine_distance_v1,retained_prose,4,middle50,stratum-02,different_account_different_community,raw_distance,40,0,40,0.3211224265135791,0.2265404580965762,0.2758083048577301,0.32034844762248166,0.36409975307542797,0.43120969452330826
cosine_distance_v1,retained_prose,4,middle50,stratum-03,same_account_same_community,score,40,25,15,0.30725153704113217,0.2345061736600078,0.26641662528153404,0.29067627589533096,0.3123668842830169,0.47185326586096243
cosine_distance_v1,retained_prose,4,middle50,stratum-03,same_account_same_community,raw_distance,40,0,40,0.30838572110713597,0.2185193454956833,0.263200435541235,0.28939925309407644,0.34429851253008503,0.47185326586096243
cosine_distance_v1,retained_prose,4,middle50,stratum-03,different_account_same_community,score,40,23,17,0.3214088295835684,0.24629517100627318,0.29001484872127603,0.3209956743818365,0.32915970464465727,0.41748336834315103
cosine_distance_v1,retained_prose,4,middle50,stratum-03,different_account_same_community,raw_distance,40,0,40,0.34712798661699856,0.24629517100627318,0.3011029997999086,0.33077065823918783,0.3811158593567211,0.5312255015662284
cosine_distance_v1,retained_prose,4,middle50,stratum-03,same_account_different_community,score,40,24,16,0.30441017739492193,0.2488825435287102,0.27258030622999674,0.2903321901214784,0.32519187925029236,0.45594906373612254
cosine_distance_v1,retained_prose,4,middle50,stratum-03,same_account_different_community,raw_distance,40,0,40,0.3181784054766724,0.22231375168831968,0.27171274623680985,0.30529048332661474,0.33694284139867237,0.5425183912258981
cosine_distance_v1,retained_prose,4,middle50,stratum-03,different_account_different_community,score,40,22,18,0.3330207668566655,0.26944395242436225,0.2937004618374296,0.32902247844795357,0.3366812653110296,0.4531112860546104
