stratum_id,communities,cut,whole_history_necessary_accounts,accounts_with_four_volume_cells,accounts_passing_internal_gates,compatible_edges,maximum_disjoint_blocks,cost_numerator,cost_denominator,matching_dp_states,intended_block_deficit
stratum-02,AskPhysics / Physics,2010-11-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-12-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-05-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-06-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-07-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-08-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-09-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-10-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-11-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2011-12-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-05-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-06-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-07-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-08-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-09-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-10-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-11-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2012-12-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-05-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-06-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-07-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-08-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-09-01T00:00:00Z,33,0,0,0,0,0,1,0,2
